lead,segment,city,decision maker,contact info,status,last touch,next touch,pain signal,response,demo booked
"ADMTOSCANO S.A.","Management agency","Guayaquil / Daule / Samborondon","Gerencia/directiva via official site, LinkedIn, Facebook; named executive not public","Web: https://www.admtoscano.com/ | Phone/WhatsApp: 0939548497 | LinkedIn/Facebook public pages","Ready - not sent","",2026-06-11,"Urbanizations, guard protocols, morosidad, resident attention, maintenance and operations","",No
"Kondominios Ecuador","Management agency","Quito / Guayaquil / national","Gerencia","gerencia@kondominiosecuador.com | 0999717764 | https://kondominiosecuador.com/contacto/","Email sent",2026-06-16,2026-06-19,"Multi-city administration, buildings and condominiums, 16+ year market signal","Sent to gerencia@kondominiosecuador.com",No
"REMS Residential Management","Management agency / enterprise operator","Quito / regional","Carla Coronel / Ecuador Residential Management contact","carla.coronel@rems.ec | https://www.rems.ec/servicios/residential-management","Email sent",2026-06-16,2026-06-19,"Enterprise property and facility management, maintenance plans, budgets, residential assets","Sent to carla.coronel@rems.ec",No
"Administra 360","Management agency","Quito / Cumbaya","Direccion/Gerencia comercial via official site","info@administra-360.com | ventas@administra-360.com bounced 2026-06-16 | +593 93 935 0135 | https://administra-360.com/","Email sent - corrected",2026-06-16,2026-06-19,"20+ condominiums, digital transparency, payments, reporting, incident management","ventas@administra-360.com bounced; replacement sent to info@administra-360.com",No
"Estrella Martinez","Management agency / developer-admin","Quito / Cumbaya / Tumbaco / Valle de los Chillos","Ing. Reinaldo Estrella, gerente general","ventas@estrellamartinez.com | 0958825454 | https://estrellamartinez.com/","Email sent",2026-06-16,2026-06-19,"Control financiero, maintenance, providers, 400+ unit community capability","Sent to ventas@estrellamartinez.com",No
"HABITAR","Management agency","Quito / Cumbaya","Gerencia/administracion via official contact","info@habitar.com.ec | +593 99 290 9187 | +593 2 289 7451 | https://habitar.com.ec/","Email sent",2026-06-16,2026-06-19,"20 years, buildings and conjuntos, finance, legal, security, maintenance","Sent to info@habitar.com.ec",No
"MyConcierge","Management agency / premium","Quito / Cumbaya","Administration/directiva support via official site","gerencia.operaciones@myconcierge.ec | contacto@myconcierge.ec bounced 2026-06-16 | +593-98-334-5121 | https://www.myconcierge.ec/equipo","Email sent - corrected",2026-06-16,2026-06-19,"Premium property administration, buildings, conjuntos, urbanizations, constructora handoff","contacto@myconcierge.ec bounced; replacement sent to gerencia.operaciones@myconcierge.ec",No
"AdmiConed","Management agency","Miravalle / Nayon / Cumbaya / Tumbaco / Puembo","Gerencia/equipo administrativo via official site","+593 998392334 | https://admiconed.com/","Ready - not sent","",2026-06-11,"Property horizontal, data protection, equipment maintenance, software use","",No
"ADMIS Administradores S.A.S.","Management agency","Quito","Administracion/Gerencia via official site","info@admisadministradores.com | +593 99 426 5984 | https://admisadministradores.com/contactos-administracion-edificios-y-condominios/","Email sent",2026-06-16,2026-06-19,"Expensas, provider payments, preventive maintenance, transparent administration","Sent to info@admisadministradores.com",No
"Condominios Ecuador","Management agency","Quito / Cumbaya / Tumbaco / Valles","Gerencia","gerencia@condominiosecuador.com | 0984040310 | https://condominiosecuador.com/quienes-somos/","Email sent",2026-06-16,2026-06-19,"Specialized administration and maintenance for buildings and condominiums","Sent to gerencia@condominiosecuador.com",No
"Torres Bellini I-IV / Ciudad del Rio","Premium city building","Guayaquil, Puerto Santa Ana","Building administrator or board president not public; discover via lobby/admin, brokers, owner listings","Mundosur: contact@mundosurint.com | Plusvalia/listing brokers | onsite lobby/admin verification","Email sent - routing",2026-06-16,2026-06-19,"Security 24/7, alicuotas, rentals, amenities, packages, high-density tower complex","Sent to contact@mundosurint.com asking for building admin/directive route",No
"IQON Residences","Premium city building","Quito, La Carolina","Building administrator/board not public; discover via Uribe Schwarzkopf customer service or lobby","info@uribeschwarzkopf.com | IQON phone 0989062764 | Uribe Schwarzkopf general/ventas | onsite lobby/admin","Email sent - developer route",2026-06-16,2026-06-19,"215 residences plus offices/commercial, amenities, iconic premium tower","Sent to info@uribeschwarzkopf.com covering IQON/Aquarela/Qorner/Unique/The Hills/YOO/La Maison operation route",No
"Aquarela Cumbaya","Premium city building","Quito / Cumbaya","Developer handoff or project administration via Uribe Schwarzkopf; future board/admin after delivery","Aquarela +593 981896197 | project email via landing page | Uribe Schwarzkopf","Discovery needed - not sent","",2026-06-12,"9 towers, 8 lobbies, 35 vestibules, 24h security, major amenities","",No
"EPIQ Residences","Premium city building","Quito, La Carolina","Building admin or developer handoff via Uribe Schwarzkopf","Uribe Schwarzkopf general/ventas | onsite lobby/admin verification","Discovery needed - not sent","",2026-06-12,"Premium mixed-use residences/offices near La Carolina, visitor/package traffic","",No
"The Hills","Premium city building","Guayaquil, Puerto Santa Ana","Developer handoff via Uribe Schwarzkopf/YOO GYE sales office","YOO GYE sales office 0993307839 | Uribe Schwarzkopf","Discovery needed - not sent","",2026-06-12,"New five-tower mixed-use project, amenities, pre-delivery onboarding opportunity","",No
"YOO Guayaquil","Premium city building","Guayaquil, Puerto Santa Ana","Developer handoff via Uribe Schwarzkopf; future building administration","YOO GYE sales office 0993307839 | Uribe Schwarzkopf","Discovery needed - not sent","",2026-06-12,"44+ floor tower, 500+ unit signal, premium service expectation","",No
"Qorner","Premium city building","Quito, La Carolina","Building admin not public; discover via Uribe Schwarzkopf delivered-building/customer network and lobby","Uribe Schwarzkopf contact/ventas | onsite lobby/admin verification","Discovery needed - not sent","",2026-06-15,"Premium La Carolina tower with high-value owners and amenities","",No
