rank,tier,score,confidence,name,segment,city_or_coverage,contact_path,why_fit,first_angle,source_url
1,A,95,High,ADMTOSCANO S.A.,Management agency / urbanizations,"Guayaquil; Daule; Samborondon","LinkedIn; website; public phone in LinkedIn posts","Administers urbanizations, buildings and condominiums; strong social presence; talks about finance, documents and resident attention","Private operating layer for guard flow, visitors, packages, payment proofs, tickets and board reporting",https://www.linkedin.com/company/admtoscano
2,A,94,High,Kondominios Ecuador,Management agency / multi-city,"Quito; Guayaquil; national","Website; LinkedIn; social; public CCQ signal","Dedicated to buildings, condominiums, conjuntos and properties; 16+ year market signal","One system for guard, resident app, maintenance, finances, transparency and reports across portfolio",https://kondominiosecuador.com/
3,A,92,High,REMS Residential Management,Enterprise property operator,"Quito; Ecuador; Peru","Website form; carla.coronel@rems.ec","Regional operator with 30+ years; residential management for buildings, condominiums and clubs","Enterprise residential operations layer with resident/admin/guard workflows and audit trails",https://www.rems.ec/servicios/residential-management
4,A,90,High,Administra 360,Management agency / tech-forward,"Quito; Cumbaya","Website; WhatsApp; phone; social","Claims 20+ condos, 10+ years, 24/7 support, real-time reports, payments, communications, reservations and incident management","Differentiate with guard mode, visitor/party workflows, work orders, file evidence, AI memory and agency dashboard",https://administra-360.com/
5,A,89,High,Estrella Martinez,Management agency / buildings,"Quito; Cumbaya; Tumbaco; Valle de los Chillos","Website; WhatsApp form","Serves buildings from small to 400+ units; emphasizes finance, maintenance, platforms, access, payments and emergencies","Prove control with resident action feed, payment proof review, receipts, guard workflows and board reports",https://estrellamartinez.com/
6,A,88,High,HABITAR Administradora de Edificios,Established management agency,"Quito; Cumbaya","Website; info@habitar.com.ec; phones","20 years; buildings and conjuntos; finance, maintenance, legal and security","Modernize resident/admin/guard communication without replacing the service model",https://habitar.com.ec/
7,A,86,High,MyConcierge,Management agency / premium buildings,"Quito; Cumbaya","Website; contacto@myconcierge.ec","Since 2010; buildings, conjuntos, urbanizations and smart-property positioning","Operating cockpit for smart buildings: visitors, packages, resident requests, maintenance, documents and board visibility",https://www.myconcierge.ec/
8,A,84,High,AdmiConed,Management agency / valles,"Miravalle; Nayon; Cumbaya; Tumbaco; Puembo","Website; WhatsApp; phone","Condo administration, property horizontal, equipment, maintenance, contracts and finances; already uses software","Deeper workflow layer or replacement if current software lacks guard, party, payment proof, work-order and AI memory",https://admiconed.com/
9,A,83,High,ADMIS Administradores S.A.S.,Management agency,"Quito","Website; contact form; social","Building and condominium admin; financial recovery, expensas, provider payments and preventive maintenance logs","Reduce calls and create visible proof of maintenance, tickets, alicuotas and transparency",https://admisadministradores.com/
10,A,82,High,Administracion de Edificios y Condominios Ecuador,Management agency,"Quito","LinkedIn; WhatsApp link","15+ years; finance, accounting, maintenance, security and technology use","Use their technology positioning to demo integrated resident, admin and guard workflows",https://ec.linkedin.com/company/administraci%C3%B3n-de-edificios-y-condominios-ecuador
11,B,81,High,Solventtar / Solventar,Management agency / mixed real estate,"Quito and surroundings","Website; gerencia@solventar.ec; phones","Administers condos, residential buildings, corporate buildings, conjuntos, urbanizations and commercial centers","One-building pilot for guard, visitors, tickets, dues proof and documents before portfolio rollout",https://solventar.ec/
12,B,80,High,Condominios Ecuador,Management agency / valles,"Quito; Cumbaya; Tumbaco","Website form","Specialized admin and maintenance; security, legal, accounting, collections, personnel and budget","Turn their described services into visible workflows residents and boards can trust",https://condominiosecuador.com/
13,B,79,Medium,Gestionados,Management agency / social-first,Quito,"Instagram; Facebook","Social positioning around condominium administration and cleaning; needs verification","Pilot resident requests, maintenance and receipts; add guard/visitors if buildings have front desk",https://www.instagram.com/gestionados/
14,B,78,High,DCL S.A.,Property / urbanization operator,Guayaquil,"Website; info@dcl.ec","25+ years managing property and real estate projects, backed by urbanization/development portfolio","Urbanization flow: resident communication, guard notification, package/delivery, dues proof and board reporting",https://www.dcl.ec/administracion/proyectos.php
15,B,77,Medium,Cuspide Gestion de Edificios,Management agency / social-first,"Quito; possible Chile/Ecuador footprint","Instagram; public contact in posts","Social evidence around residential building management; verify Ecuador operation","Digital modernization pitch for residential buildings after confirming decision maker",https://www.instagram.com/p/DUWuMqOjAqb/
16,B,76,High,Contabilidad de Servicios,Accounting + condo admin,"Quito / Ecuador","Website contact","Offers administration of buildings and condominiums plus accounting/tributary services","Make accounting/admin visible with receipts, budget vs actual, payment proofs and reports",https://contabilidaddeservicios.com/administracion-de-edificios-y-condominios-quito/
17,B,74,Medium,Monel,Real estate services / property horizontal,Quito,"Website","Offers administrators for edificios, conjuntos and condominios; mentions assemblies, expensas and community spaces","Tool to execute property-horizontal workflows with residents and guards",https://www.monel.ec/servicios-inmobiliarios-ecuador/administradores-de-edificios-conjuntos-o-condominios.html
18,B,73,Medium,APSEIN / AdministracionPropiedades.com,Property admin,North Quito,"Website","Property/building/condo admin with budgets, maintenance, cleaning and systems language","Maintenance/work-order visibility and transparent expense evidence",https://administracionpropiedades.com/empresa-de-administracion-de-edificios-y-condominios-las-24-horas-al-norte-de-quito/
19,B,73,Medium,Cobrapoco,Legal / collections partner,Ecuador,"Website","Targets administrators around common expenses, legal collections, governance and money control","Partner angle: delinquency, payment proof workflows and exportable evidence",https://www.cobrapoco.com/blog/guia-para-administradores
20,C,70,Medium,Polibienes,Property management,Ecuador,"Website","Administers properties, collections, repairs/damages and legal/technical advice; less clearly condo-focused","Lower priority; test rental/owner portal angle only if they manage buildings",https://polibienes.com/servicios/administracion-de-inmuebles/
21,C,70,Low,FBA Administracion de Inmuebles,Property / social lead,Quito,Facebook,"Social presence around condominiums, buildings, cameras, security and legal; needs validation","Verify if they manage buildings or only promote real estate services",https://www.facebook.com/fbainmuebles/
22,C,69,Low,AIADM Administracion de Inmuebles,Management agency / social lead,Ecuador,Instagram,"Social snippets show professional building/condo administration; needs official verification","Manual social DM only after confirming current activity and decision maker",https://www.instagram.com/p/DXF1gc3gYLT/
