rank,name,city_area,segment,score,confidence,why_it_fits,first_outreach_route,source
1,"Torres Bellini I-IV / Ciudad del Rio","Guayaquil, Puerto Santa Ana","Premium city towers",96,High,"High-end riverfront tower complex with rentals, alicuotas, concierge/security, packages, owners and tenants.","Building lobby/admin, Puerto Santa Ana brokers, Bellini owner/rental listings.","https://mundosurint.com/property/torre-bellini-puerto-santa-ana/"
2,"IQON Residences","Quito, La Carolina","Iconic premium tower",95,High,"32-story residential mixed-use tower with 215 residences and many amenities; premium reference potential.","Uribe Schwarzkopf sales/admin channel, building concierge, listing brokers.","https://www.mchap.co/mchap-2024-projects/iqon-residences"
3,"Aquarela Cumbaya","Quito/Cumbaya","Premium multi-building residences",94,High,"Large landscaped residential project with major shared amenities and high owner value.","Uribe Schwarzkopf, Cumbaya brokers, building administration.","https://landing.uribeschwarzkopf.com/lp-aquarela"
4,"Grand Bay Manta","Manta, Barbasquillo","Beachfront resort condos",94,High,"Four towers, hundreds of units, ocean views, resort amenities, pools, beach access, investment/vacation positioning.","Developer/sales channels, Ecuador Shores Realty, owner listings.","https://www.owninecuador.com/grandbay"
5,"Ocean Club / Torre Mediterranea / Torre Atlantis","Playas, Ocean Club sector","Beach condo resort",93,High,"Strong vacation-owner signal, private beach/club amenities, alicuotas, guest flow, security.","Ocean Club administration, rental brokers, owner groups.","https://www.plusvalia.com/venta/departamentos/guayas/playas/norte-de-playas"
6,"Karibao Resort Town","Playas / Engabao","Beach resort town",93,High,"Major resort-style beach community with lots, apartments, amenities, security, vacation use, and owner/investor positioning.","Pronobis/Karibao sales and resort administration.","https://pronobis.com.ec/proyectos/karibao/"
7,"Elite Tower","Salinas, San Lorenzo","Beachfront premium tower",92,High,"14-floor oceanfront project with suites, departments, penthouses, controlled access, security, pool, gym, sauna and social areas.","Official sales office, building administrator, brokers.","https://elitetower.com.ec/"
8,"EPIQ Residences","Quito, La Carolina","Premium mixed-use tower",92,High,"Completed 24/25-story tower by BIG, residences/offices in La Carolina; strong visitor, package and amenities fit.","Uribe Schwarzkopf, brokers, building admin.","https://big.dk/projects/epiq-residences-3797"
9,"The Hills","Guayaquil, Puerto Santa Ana","Premium residential project",91,High,"New Puerto Santa Ana residential project; strong pre-delivery moment for owner/admin onboarding.","Uribe Schwarzkopf sales team; developer handoff.","https://uribeschwarzkopf.com/proyectos/"
10,"YOO Guayaquil","Guayaquil, Puerto Santa Ana","Premium residential tower",91,High,"New Puerto Santa Ana residences with international design brand and likely high service expectations.","Uribe Schwarzkopf sales/admin handoff.","https://uribeschwarzkopf.com/proyectos/"
11,"Qorner","Quito, La Carolina","Premium tower",90,High,"Recognizable La Carolina residential tower by Safdie Architects, high-value owners and amenities.","Uribe Schwarzkopf, listing brokers, lobby/admin.","https://uribeschwarzkopf.com/proyectos-quito/"
12,"Unique","Quito, La Carolina","Premium tower",90,High,"Delivered Carlos Zapata residential tower; strong reference value and high owner density.","Uribe Schwarzkopf delivered-building network, brokers.","https://uribeschwarzkopf.com/proyectos-quito/"
13,"MarBlanco","Punta Blanca / Salinas","Beach apartments",89,High,"Punta Blanca apartment project with 1-4 bedroom units; strong second-home/vacation ownership signal.","Vintimilla Constructora and listing brokers.","https://www.vintimillaconstructora.com/marblanco"
14,"Makana Resort","Tonsupa","Beach resort condos/hotel",89,High,"Frontline beach resort with suites/apartments, pools, jacuzzis, and recurring vacation traffic.","Resort administration, suite owners, rental channels.","https://ownerdirect.com/property/suite-frente-al-mar-en-el-makana-resort-tonsupa/HA-1217851121"
15,"Diamond Beach / Grand Diamond Beach","Tonsupa","Beach condo tower",88,High,"Vacation apartment listings describe it as a desired/full-service Tonsupa complex with pool, beach, elevator and amenities.","Building administration, rental brokers, owner groups.","https://www.airbnb.co.cr/diamond-beach-ecuador/stays/apartments"
16,"Casa Blanca / Club Casablanca","Same","Beach condo community",88,High,"Many vacation apartments, security 24/7 references, beachfront units, high absentee-owner and guest flow.","Club/urbanization administration and rental operators.","https://www.airbnb.com.sv/club-casablanca-ecuador/stays"
